2940   0.0000
2960   0.0000
2980   0.0000
3000   0.0000
3020   0.0001
3040   0.0002
3060   0.0005
3080   0.0010
3100   0.0021
3120   0.0037
3140   0.0061
3160   0.0096
3180   0.0136
3200   0.0182
3220   0.0231
3240   0.0277
3260   0.0323
3280   0.0368
3300   0.0409
3320   0.0451
3340   0.0494
3360   0.0535
3380   0.0573
3400   0.0604
3420   0.0634
3440   0.0661
3460   0.0692
3480   0.0729
3500   0.0765
3520   0.0793
3540   0.0817
3560   0.0838
3580   0.0859
3600   0.0878
3620   0.0898
3640   0.0919
3660   0.0942
3680   0.0960
3700   0.0964
3720   0.0965
3740   0.0942
3760   0.0910
3780   0.0867
3800   0.0791
3820   0.0715
3840   0.0601
3860   0.0472
3880   0.0352
3900   0.0263
3920   0.0173
3940   0.0117
3960   0.0071
3980   0.0034
4000   0.0022
4020   0.0010
4040   0.0006
4060   0.0003
4080   0.0002
4100   0.0002
4120   0.0002
4140   0.0001
4160   0.0001
